accommodates,bathrooms,bed_type,bedrooms,beds,date_from,date_o,date_rom,date_to,has_availability,host_image,host_name,image,listing_url,location,name,price,property_type,room_type
8,2,Real Bed,3,4,20170413,,,20170602,TRUE,"https://a1.muscache.com/ac/users/3526468/profile_pic/1347305077/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Ammen & Stephanie,,https://www.airbnb.com/rooms/8754180,,Viewridge Home,121,House,Entire home/apt
2,1,Real Bed,1,1,20170512,,,20170418,TRUE,"https://a2.muscache.com/ac/users/33923879/profile_pic/1435353834/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Dane & Alanna,https://a2.muscache.com/im/pictures/89df1711-5a03-4446-80f4-766a7f8d68d8.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8904766,,"""Sprocket"""" room close to Downtown""",110,House,Private room
6,1,Real Bed,1,1,20170415,,,20170429,TRUE,"https://a2.muscache.com/ac/users/16155674/profile_pic/1434238127/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Shannon & Ben,https://a2.muscache.com/im/pictures/82528791/70aeefed_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/3186785,,Bedouin paradise w/ full kitchen,30,House,Private room
4,1,Real Bed,1,1,20170519,,,20170411,TRUE,"https://a1.muscache.com/ac/users/3302799/profile_pic/1345347838/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Janette,https://a2.muscache.com/im/pictures/26255969/027a7cd9_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/1885801,,Feel nature and city convenience,102,House,Private room
4,2,Real Bed,3,2,20170404,,,20170403,TRUE,"https://a0.muscache.com/ac/users/42273230/profile_pic/1440338526/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Madeleine,https://a0.muscache.com/im/pictures/102049961/bddd5a2b_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8006745,,South Seattle Urban Farmhouse-,39,House,Entire home/apt
4,1,Real Bed,2,2,20170518,,,20170404,TRUE,"https://a2.muscache.com/ac/users/33923879/profile_pic/1435353834/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Dane & Alanna,https://a2.muscache.com/im/pictures/c97009c1-56bf-4920-9e2f-d77d272b11dc.jpg?aki_policy=medium,https://www.airbnb.com/rooms/7013085,,Uncommon Abode close to downtown,40,House,Entire home/apt
6,3,Real Bed,3,3,20170510,,,20170502,TRUE,"https://a1.muscache.com/ac/users/29934463/profile_pic/1432626905/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Roger W,https://a1.muscache.com/im/pictures/82393750/f58c8775_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/6546748,,Lake Washington Waterfront Home,139,House,Entire home/apt
2,1,Real Bed,1,1,20170418,,,20170420,TRUE,"https://a2.muscache.com/ac/users/23315402/profile_pic/1415413839/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Theresa And Joe,https://a1.muscache.com/im/pictures/70093816/188b5430_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/4526737,,Quiet retreat by waterfront park,219,Apartment,Entire home/apt
4,1,Real Bed,2,2,20170427,,,20170413,TRUE,"https://a2.muscache.com/ac/users/4193/profile_pic/1259096088/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Jessica,https://a1.muscache.com/im/pictures/76027692/e0fbd0fd_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/3335,,Sweet Seattle Urban Homestead 2 Bdr,150,,Entire home/apt
4,1,Couch,1,1,20170409,,,20170417,TRUE,"https://a2.muscache.com/ac/users/14316158/profile_pic/1438802875/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Skyler,https://a2.muscache.com/im/pictures/105351620/966377cc_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/4735761,,Comfy bunkbed 2 close to lightrail!,167,Apartment,Shared room
2,2,Real Bed,1,1,20170418,,,20170425,TRUE,"https://a2.muscache.com/ac/users/2537803/profile_pic/1434676236/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Heather,https://a1.muscache.com/im/pictures/53977210/f9f9443f_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/1672979,,Comfy Home Near Seward Park Seattle,105,House,Private room
2,1,Real Bed,1,2,20170413,,,20170510,TRUE,"https://a0.muscache.com/ac/users/24302543/profile_pic/1417316028/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Catherine,https://a0.muscache.com/im/pictures/93748926/c34a0e01_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/7388899,,Warm Urban Charmer--Double Bed Room,166,House,Private room
2,1,Real Bed,1,1,20170407,,,20170415,TRUE,"https://a2.muscache.com/ac/users/14316158/profile_pic/1438802875/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Skyler,https://a2.muscache.com/im/pictures/105352473/e991b50c_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/8052307,,420 Cozy couch close to lightrail!,137,Apartment,Shared room
2,1,Real Bed,1,1,20170501,,,20170519,TRUE,"https://a2.muscache.com/ac/users/33923879/profile_pic/1435353834/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Dane & Alanna,https://a2.muscache.com/im/pictures/0f6c9f11-6d37-4c71-92db-114ea1e23b04.jpg?aki_policy=medium,https://www.airbnb.com/rooms/9068366,,Guest Room,75,House,Private room
2,1,Real Bed,1,1,20170402,,,20170417,TRUE,"https://a2.muscache.com/ac/users/4193/profile_pic/1259096088/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70",Jessica,https://a1.muscache.com/im/pictures/88387479/e24cc443_original.jpg?aki_policy=medium,https://www.airbnb.com/rooms/6117473,,Urban TREEHOUSE & Homestead,168,Treehouse,Private room
